"Duration","Distance","Latitude","Longitude","AltitudeOriginal","AltitudeCorrected","HeartRate","Cadence","PowerCalculated",
"1","0.2191","43.683591","-79.301682","131","128","116","84","187",
"1","0.221","43.683591","-79.301661","131","128","116","84","188",
"1","0.2229","43.683591","-79.301628","131","128","116","84","189",
"1","0.2248","43.683591","-79.301607","131","128","116","84","187",
"1","0.2266","43.683596","-79.301586","131","128","116","84","184",
"1","0.2285","43.683596","-79.301564","131","128","116","83","181",
"1","0.2307","43.683601","-79.301532","131","128","117","83","180",
"1","0.2328","43.683607","-79.30151","131","128","117","82","180",
"1","0.2346","43.683607","-79.301489","131","128","117","82","181",
"1","0.2364","43.683612","-79.301468","131","128","117","81","182",
"1","0.2382","43.683617","-79.301446","131","128","118","81","183",
"1","0.24","43.683623","-79.301425","131","128","118","82","183",
"1","0.2419","43.683628","-79.301392","131","128","118","82","183",
"1","0.2438","43.683634","-79.301371","131","128","118","82","185",
"1","0.2458","43.683634","-79.30135","131","128","119","83","187",
"1","0.2479","43.683644","-79.301328","131","128","119","83","190",
"1","0.2503","43.68365","-79.301307","131","128","119","83","191",
"1","0.2528","43.68365","-79.301285","131","128","119","83","191",
"1","0.2544","43.683655","-79.301253","131","128","119","83","192",
"1","0.2558","43.68366","-79.301232","131","128","120","83","192",
"1","0.2573","43.683666","-79.30121","131","128","120","83","192",
"1","0.2592","43.683676","-79.301189","131","128","120","82","192",
"1","0.2612","43.683682","-79.301167","131","128","120","82","190",
"1","0.2635","43.683687","-79.301146","131","128","120","82","190",
"1","0.266","43.683693","-79.301124","131","128","120","82","191",
"1","0.2684","43.683698","-79.301103","131","128","121","83","192",
"1","0.2706","43.683703","-79.301081","131","128","121","83","194",
"1","0.2728","43.683709","-79.301049","131","128","121","84","196",
"1","0.2751","43.683714","-79.301028","131","128","122","84","197",
"1","0.2775","43.683719","-79.301006","131","128","122","85","197",
"1","0.2799","43.683719","-79.300985","131","128","122","86","197",
"1","0.282","43.683725","-79.300953","131","128","123","86","197",
"1","0.284","43.68373","-79.300931","131","128","123","85","197",
"1","0.286","43.683735","-79.30091","131","128","123","84","196",
"1","0.2879","43.683746","-79.300888","131","128","124","84","197",
"1","0.2897","43.683752","-79.300867","131","128","124","83","199",
"1","0.2915","43.683757","-79.300835","131","128","125","83","201",
"1","0.2933","43.683768","-79.300813","131","128","125","82","201",
"1","0.2952","43.683773","-79.300792","131","128","126","81","201",
"1","0.2973","43.683778","-79.30077","131","128","126","81","200",
"1","0.2994","43.683784","-79.300749","131","129","126","80","198",
"1","0.3017","43.683794","-79.300727","131","129","127","79","196",
"1","0.3041","43.6838","-79.300706","131","129","127","79","193",
"1","0.3064","43.683805","-79.300684","131","129","127","78","189",
"1","0.3083","43.683811","-79.300663","131","129","127","78","183",
"1","0.3102","43.683816","-79.300631","131","129","127","78","176",
"1","0.3124","43.683821","-79.300609","131","129","128","78","172",
"1","0.3148","43.683832","-79.300588","131","129","128","79","174",
"1","0.3171","43.683837","-79.300566","131","129","128","79","177",
"1","0.3191","43.683848","-79.300545","131","129","128","80","174",
"1","0.3211","43.683853","-79.300523","131","129","128","81","168",
"1","0.3231","43.683859","-79.300502","131","129","128","81","163",
"1","0.3251","43.683864","-79.30048","131","129","128","79","157",
"1","0.3271","43.68387","-79.300448","131","129","128","72","152",
"1","0.3291","43.68388","-79.300427","131","129","128","66","146",
"1","0.3311","43.683886","-79.300405","131","129","128","60","140",
"1","0.3329","43.683891","-79.300384","131","130","128","54","134",
"1","0.3343","43.683902","-79.300362","131","130","127","48","127",
"1","0.3356","43.683912","-79.300341","131","130","127","41","120",
"1","0.3363","43.683923","-79.30033","131","130","127","41","113",
"1","0.3368","43.683934","-79.300309","131","130","127","41","108",
"1","0.338","43.683945","-79.300287","131","130","127","41","103",
"1","0.3408","43.68395","-79.300266","131","130","127","41","97",
"1","0.3437","43.683961","-79.300255","131","130","128","41","90",
"1","0.3449","43.683966","-79.300234","131","130","128","41","84",
"1","0.3451","43.683966","-79.300223","131","130","128","41","79",
"1","0.3454","43.683971","-79.300223","131","130","128","41","74",
"1","0.3456","43.683971","-79.300223","131","130","128","41","68",
"1","0.3459","43.683971","-79.300223","131","130","128","41","64",
"1","0.3461","43.683971","-79.300223","131","130","127","41","58",
"1","0.3464","43.683971","-79.300212","131","130","127","41","54",
"1","0.3466","43.683971","-79.300212","131","130","126","41","62",
"1","0.3468","43.683971","-79.300212","131","130","124","41","67",
"1","0.3471","43.683971","-79.300212","131","130","123","41","68",
"1","0.3473","43.683971","-79.300212","131","130","121","41","71",
"1","0.3476","43.683971","-79.300202","131","130","119","41","74",
"1","0.3478","43.683977","-79.300202","131","130","118","41","79",
"1","0.3481","43.683977","-79.300202","131","130","116","41","81",
"1","0.3483","43.683977","-79.300202","131","130","116","41","80",
"1","0.3486","43.683977","-79.300202","131","130","116","41","77",
"1","0.3488","43.683977","-79.300191","131","130","116","41","80",
"1","0.3491","43.683977","-79.300191","131","130","115","41","85",
"1","0.3493","43.683977","-79.300191","131","130","115","41","90",
"1","0.3496","43.683977","-79.300191","131","130","114","97","94",
"1","0.3498","43.683982","-79.30018","131","130","114","97","97",
"1","0.3501","43.683982","-79.30018","131","130","113","97","101",
